date,net_worth
2025-05-01,1000000.0
2025-05-02,1000000.0
2025-05-03,1000000.0
2025-05-04,1000000.0
2025-05-05,999642.9998397828
2025-05-06,999496.000480652
2025-05-07,1001343.9987182616
2025-05-08,1001506.7514419556
2025-05-09,1001092.7507400512
2025-05-10,1001092.7507400512
2025-05-11,1001092.7507400512
2025-05-12,1005061.499786377
2025-05-13,1010085.7444763184
2025-05-14,1014548.9974975586
2025-05-16,1014601.4953613281
2025-05-17,1014601.4953613281
2025-05-18,1014601.4953613281
2025-05-19,1014750.2571105957
2025-05-20,1013709.0049743652
2025-05-21,1011322.5032806396
2025-05-25,1010774.2427825928
2025-05-26,1010774.2427825928
2025-05-27,1015510.5003356934
2025-05-28,1014665.2473449707
2025-05-29,1020030.753326416
2025-05-30,1013839.2570495605
2025-05-31,1013839.2570495605
